project_name,bug_number,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
keras,3,1869.1951713562012,5470.714285714285,0.14286087339307163,0,-10
keras,5,55.69915580749512,18709.0,0.5000267265341031,10,-12
keras,6,4203.084482192993,18538.0,0.500067438159208,45.01155115511551,-2.0115511551155114
keras,7,12379.123174905777,18499.5,0.5000135142440132,0,-10
keras,10,86.7047348022461,2060.6666666666665,0.055557053373235195,0,-10
keras,14,58.315861225128174,17922.0,0.5000139497251904,0,-10
keras,17,145.79922080039978,17710.5,0.5000705895640388,100,-12
keras,18,72.30160403251648,5054.714285714285,0.14286118042265233,0,-10
keras,20,17664.967761039734,1416.36,0.04000112968820605,0,-10
keras,26,3134.593938589096,19522.0,0.5000128063929513,0,-10
keras,31,21.71104598045349,12855.666666666666,0.3333419765250912,0,-10
keras,33,28.679107666015625,7669.2,0.20000521580388578,0,-10
keras,35,5849.953172206879,4697.125,0.12500332659144134,0,-10
keras,38,6425.10378241539,18272.5,0.5000136821366025,0,-10
keras,40,827.7390344142914,8845.25,0.2500070661390616,0,-10
keras,41,77.3177375793457,2164.875,0.06250180442879003,0,-10
keras,43,58.696354389190674,11487.333333333334,0.333343006103518,0,-10
pandas,2,32277.67711544037,25689.2,0.20000155708669082,0,-10
pandas,12,24271.84233021736,9826.0,0.07693090624388334,5,-7
pandas,23,99578.901201725,42436.0,0.33335166259495214,60,-12
pandas,43,28776.36675977707,3.0,2.3754285669039456e-05,30.0,6
pandas,54,46.08626055717468,41926.666666666664,0.3333359834842594,0,-10
pandas,56,23584.782984018326,41923.333333333336,0.3333359836949752,0,-10
pandas,68,4974.024302482605,41821.0,0.33333599018029364,0,-10
pandas,72,4081.1331992149353,15670.25,0.12500099712031654,0,-10
pandas,74,3342.62832403183,1.0,7.980654892540482e-06,0.0,8
pandas,77,319.3047137260437,41766.333333333336,0.33333599365778654,0,-10
pandas,81,12458.790018081665,20826.833333333332,0.16666800042680324,0,-10
pandas,84,36150.16482114792,41623.666666666664,0.3333360027762206,0,-10
pandas,116,40300.29475188255,62401.5,0.5000040063460521,0,-10
pandas,137,132688.53024053574,31308.75,0.2500259539058632,100,-12
pandas,141,15481.485755681992,62418.0,0.5000040052869789,0,-10
pandas,143,66614.74611353874,41591.666666666664,0.3333360048300661,0,-10
pandas,146,267.63145875930786,13848.888888888889,0.1111120025745464,0,-10
pandas,168,8535.846648693085,41903.666666666664,0.33333598493888045,0,-10
sanic,1,440.5520324707031,6643.0,0.5000376364320662,0,-10
sanic,3,196.67888522148132,3401.5,0.2500183755972069,0,-10
sanic,4,459.0560920238495,4568.333333333333,0.33335765713173765,0,-10
spacy,1,0.2565317153930664,35348.666666666664,0.3333364766529932,0,-10
spacy,2,83087.99269723892,35298.666666666664,0.3333364811054976,0,-10
spacy,3,15.23869276046753,35647.0,0.3333364503459884,0,-10
spacy,4,11.089735269546509,50206.5,0.5000049794845237,0,-10
spacy,5,71.84405374526978,49891.0,0.5000050109740332,0,-10
spacy,6,306.7640278339386,4.0,4.017919922855937e-05,30.0,5
thefuck,2,7.9789745807647705,2172.0,0.500115127791849,0,-10
thefuck,3,0.26230478286743164,1432.6666666666667,0.3334109068342255,0,-10
thefuck,4,13.70940113067627,1033.75,0.2500604741170779,0,-10
thefuck,6,5.421767711639404,1363.6666666666667,0.3334148329258354,0,-10
thefuck,7,18.607203722000122,1317.3333333333333,0.3334177001602969,0,-10
thefuck,8,14.905308246612549,1270.0,0.33342084536623784,0,-10
thefuck,13,32.64718770980835,439.3333333333333,0.16672991777356103,0,-10
thefuck,14,11.717396974563599,424.6666666666667,0.16673210312786285,0,-10
thefuck,15,37.31206679344177,505.6,0.2000791452314998,0,-10
thefuck,17,290.60990047454834,222.72727272727272,0.09094621181187126,0,-10
thefuck,19,58.811904191970825,1122.5,0.500222816399287,0,-10
thefuck,20,6.726948022842407,446.4,0.20008964589870012,0,-10
thefuck,25,9.800950765609741,909.5,0.5002750275027503,0,-10
thefuck,26,15.910508871078491,608.3333333333334,0.33351608187134507,0,-10
thefuck,28,254.17725825309753,180.0,0.1000555864369094,0,-10
thefuck,29,2.6936237812042236,599.3333333333334,0.3335188276757559,0,-10
tornado,1,2285.3014409542084,5887.0,0.33335220838052093,0,-10
tornado,5,15.831645965576172,6028.333333333333,0.33335176583351767,0,-10
tornado,6,229.30976128578186,3010.6666666666665,0.16667589363154883,0,-10
tornado,8,3249.28294301033,5827.666666666667,0.33369598411971296,211.11057304277642,-2.36319612590799
tqdm,4,51.20026516914368,1013.0,0.5002469135802469,0,-10
tqdm,5,452.6366128921509,193.3,0.10005175983436854,0,-10
tqdm,6,9.69436502456665,942.5,0.5002653927813163,0,-10
tqdm,7,18.93904423713684,913.0,0.5002739726027398,0,-10
tqdm,8,109.56104493141174,567.0,0.500441306266549,0,-10
tqdm,9,131.17345690727234,59.666666666666664,0.111318407960199,0,-10
youtube-dl,1,255.04470682144165,36203.333333333336,0.3333364024466972,0,-10
youtube-dl,2,1180.5317454338074,9571.818181818182,0.09090995433348385,0,-10
youtube-dl,6,8.705832242965698,10854.5,0.16666922580843288,0,-10
youtube-dl,7,69.46882820129395,20927.666666666668,0.33333864271075575,0,-10
youtube-dl,13,214.2409746646881,3.0,2.61276247376351e-05,0.003383458646616541,6
