project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,output_length,cumulative_distance,cumulative_distance2,sv_comp_overall_score
pandas,116,Statement,DStar,1,0,0,0.0,2121.0391430854797,183.5,1,0.0014703290011378023,0.0014703290011378023,8989,105.0,20.0,-12.0
pandas,137,Statement,DStar,1,1,1,0.1282051282051282,3366.506372451782,205.5,1,0.0016410854322722844,0.0016410854322722844,10639,31.78276743336984,9.004989655592066,-3.782767433369843
pandas,141,Statement,DStar,1,0,1,6.2645011600928076,46.401092290878296,92.5,1,0.0007409780910802259,0.0007409780910802259,3588,0,0,-12.0
pandas,143,Statement,DStar,1,1,1,0.49261083743842365,2166.20321059227,50.5,1,0.0004047317550130636,0.0004047317550130636,10692,0,0,-12.0
pandas,146,Statement,DStar,1,1,1,19.047619047619047,48.27202129364014,2.5,1,2.0057927294025143e-05,2.0057927294025143e-05,3610,2.5,1.0080645161290323,-3.008064516129032
pandas,168,Statement,DStar,1,1,0,0.0,6296.336213111877,6.5,1,5.170630816959669e-05,5.170630816959669e-05,13476,32.504418262150224,19.50441826215022,-3.004418262150221
sanic,1,Statement,DStar,0,0,0,0.0,293.60652709007263,4.5,1,0.0003387278885961611,0.0003387278885961611,2181,4.5,1.2309631432545203,-3.2309631432545203
sanic,3,Statement,DStar,0,1,1,5.88235294117647,284.4683532714844,17.5,1,0.0012862918044836457,0.0012862918044836457,1991,27.52384196185286,8.109673024523161,-5.109673024523161
sanic,4,Statement,DStar,0,1,1,0.2004008016032064,47.88449215888977,18.5,1,0.0013499708114419148,0.0013499708114419148,1310,25.0,5.0,-7.0
spacy,1,Statement,DStar,0,0,0,0,3.3847854137420654,1.0,1,9.429958979678439e-06,9.429958979678439e-06,474,1.0,1.0,-3.0
spacy,2,Statement,DStar,0,0,0,0.0,275.0050346851349,9.0,1,8.49898484347703e-05,8.49898484347703e-05,36955,19.0,8.823816355810617,-7.0
spacy,3,Statement,DStar,0,0,0,0.0,6.040996313095093,3.0,1,2.8053113895642416e-05,2.8053113895642416e-05,261,4.003552397868561,2.0065127294256957,-3.003552397868561
spacy,4,Statement,DStar,1,0,1,46.51162790697674,4.43233323097229,13.0,1,0.0001294665976178146,0.0001294665976178146,365,2.0851063829787235,1.0496453900709222,-3.049645390070922
spacy,5,Statement,DStar,1,0,0,0.0,38.57931137084961,1.0,1,1.002194806626512e-05,1.002194806626512e-05,1382,1.0,1.0,-3.0
spacy,6,Statement,DStar,0,1,1,0.8620689655172413,34.51030898094177,18.666666666666664,1,0.00018750292973327706,0.00018750292973327706,1433,22.5,5.0,-7.0
thefuck,2,Statement,DStar,0,0,0,0.0,3.6633265018463135,8.5,1,0.00195717246143219,0.00195717246143219,122,10.792284866468844,6.779920870425322,-5.015825914935707
thefuck,3,Statement,DStar,0,0,0,0,4.067361831665039,1.6666666666666665,1,0.0003878675044604763,0.0003878675044604763,89,1.6666666666666665,1.00390625,-3.00390625
thefuck,4,Statement,DStar,1,0,1,37.5,27.40939736366272,4.0,1,0.0009675858732462506,0.0009675858732462506,67,4.0,2.27787610619469,-4.2778761061946895
thefuck,6,Statement,DStar,1,0,1,4.545454545454546,1.3505890369415283,2.0,1,0.0004889975550122249,0.0004889975550122249,54,2.0,4.013888888888888,-6.013888888888888
thefuck,7,Statement,DStar,0,0,0,0.0,0.6760425567626953,3.5,1,0.000885851683118198,0.000885851683118198,34,18.5,15.5,-9.5
thefuck,8,Statement,DStar,0,0,0,0.0,0.7262434959411621,2.666666666666667,1,0.0007000962632361951,0.0007000962632361951,44,2.666666666666667,1.032142857142857,-3.032142857142857
thefuck,13,Statement,DStar,0,0,0,0.0,1.4209578037261963,4.5,1,0.0017077798861480076,0.0017077798861480076,51,19.5,13.028985507246377,-7.028985507246377
thefuck,14,Statement,DStar,0,1,1,100.0,7.336745738983154,1.0,1,0.00039261876717707107,0.00039261876717707107,79,1.0,1.0,-3.0
thefuck,15,Statement,DStar,0,0,1,4.3478260869565215,3.262887954711914,2.0,1,0.0007914523149980214,0.0007914523149980214,47,2.0,7.0,-9.0
thefuck,17,Statement,DStar,0,0,1,1.7857142857142856,16.943659782409668,2.0,1,0.0008166598611678236,0.0008166598611678236,40,2.0,2.6697588126159557,-4.669758812615956
thefuck,19,Statement,DStar,0,0,0,0.0,3.976938009262085,3.5,1,0.0015597147950089127,0.0015597147950089127,54,3.5,8.5,-10.5
thefuck,20,Statement,DStar,0,0,1,58.333333333333336,0.8783576488494873,3.0,1,0.001344688480502017,0.001344688480502017,37,18.0,11.0,-5.0
thefuck,25,Statement,DStar,0,0,0,0.0,8.246513366699219,1.0,1,0.00055005500550055,0.00055005500550055,5,1.0,1.0,-3.0
thefuck,26,Statement,DStar,0,0,1,57.89473684210527,2.047957181930542,1.6666666666666665,1,0.0009137426900584795,0.0009137426900584795,6,1.6666666666666665,1.0384615384615383,-3.0384615384615383
thefuck,28,Statement,DStar,0,0,1,16.666666666666664,9.628909349441528,1.2,1,0.0006670372429127293,0.0006670372429127293,16,1.2,1.0029850746268658,-3.002985074626866
thefuck,29,Statement,DStar,0,0,0,0.0,2.5247983932495117,1.3333333333333333,1,0.0007419773696902244,0.0007419773696902244,75,1.3333333333333333,1.011494252873563,-3.011494252873563
tornado,1,Statement,DStar,0,0,1,0.11689070718877849,78.14776730537415,1.0,1,5.662514156285391e-05,5.662514156285391e-05,2658,1.0,1.0,-3.0
tornado,5,Statement,DStar,0,1,1,27.397260273972602,2001.7016625404358,3.3333333333333335,1,0.00018432500184325002,0.00018432500184325002,4608,3.3333333333333335,1.0204415372035978,-3.020441537203598
tornado,6,Statement,DStar,0,0,0,0.0,1777.4389777183533,6841.5,0,0.3787576814482644,-1,4597,66.91094771241829,10.59109477124183,-3.085375816993464
tornado,8,Statement,DStar,0,0,0,0.0,45.8743679523468,294.5,1,0.016863261566651397,0.016863261566651397,2641,0,0,-5.614608555286521
tqdm,3,Statement,DStar,0,0,0,0.0,109.47254824638367,1306.5,0,0.6320754716981132,-1,545,38.7966991747937,7.253563390847711,-3.6106526631657916
tqdm,4,Statement,DStar,1,0,0,0.0,36.23267221450806,1.0,1,0.0004938271604938272,0.0004938271604938272,526,1.0,1.0,-3.0
tqdm,5,Statement,DStar,1,1,1,1.240694789081886,80.39165186882019,8.333333333333334,1,0.004313319530710835,0.004313319530710835,511,14.800566343042071,3.3120954692556634,-3.078883495145631
tqdm,6,Statement,DStar,1,0,0,0.0,42.12509560585022,1.0,1,0.0005307855626326964,0.0005307855626326964,501,1.0,1.0,-3.0
tqdm,7,Statement,DStar,1,0,0,0.0,0.7109723091125488,933.0,0,0.5112328767123288,-1,40,0,0,-3.3220873786407767
