project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,output_length,cumulative_distance,sv_comp_overall_score
luigi,6,Statement,Tarantula,1,1,0,0.0,22.192190170288086,5.666666666666667,1,0.00029716643068156,0.00029716643068156,1840,19.698162729658794,-6.0078740157480315
luigi,13,Statement,Tarantula,1,0,0,0.0,24.50883936882019,1.0,1,5.983008256551394e-05,5.983008256551394e-05,1847,1.0,-3.0
luigi,22,Statement,Tarantula,1,0,0,0.0,48.29774236679077,7256.5,0,0.5552452368199556,-1,1443,5.522889114954221,-3.0183112919633777
luigi,23,Statement,Tarantula,1,0,0,0.0,69.48485374450684,437.75,1,0.033449224421181326,0.033449224421181326,1666,26.026026026026024,-7
luigi,26,Statement,Tarantula,1,1,1,16.666666666666664,1.0492701530456543,4.0,1,0.0003273858241938124,0.0003273858241938124,130,5.509933774834437,-3.119205298013245
luigi,29,Statement,Tarantula,1,1,1,19.565217391304348,4.152209997177124,10.333333333333334,1,0.0008674725766733826,0.0008674725766733826,791,3.846534653465347,-3.2194719471947195
luigi,32,Statement,Tarantula,1,0,0,0.0,4.5186767578125,6295.0,0,0.5323017081007949,-1,763,1.9921875,-3.3307291666666665
pandas,2,Statement,Tarantula,1,1,1,0.6765899864682002,1341.9947276115417,232.0,1,0.001806220561329752,0.001806220561329752,8158,2.5010836584308627,-7.627329865626354
pandas,12,Statement,Tarantula,1,0,1,0.1620745542949757,2552.903843164444,104.0,1,0.0008142493638676844,0.0008142493638676844,8671,0,-11.223300970873787
pandas,23,Statement,Tarantula,1,0,0,0.0,49.26249623298645,106.0,1,0.0008326721706820841,0.0008326721706820841,2561,0,-11.061193052910287
pandas,68,Statement,Tarantula,1,0,0,0.0,23.321685075759888,26315.0,0,0.20974478328099344,-1,1528,0,-6.760933476612396
pandas,72,Statement,Tarantula,1,1,1,1.6006739679865205,15.268394708633423,3.25,1,2.5925128229672706e-05,2.5925128229672706e-05,4158,3.25,-8.250078492935636
pandas,77,Statement,Tarantula,1,0,0,0.0,0.4080839157104492,14.0,1,0.00011173362703315296,0.00011173362703315296,27,0,-9.337112622826908
pandas,81,Statement,Tarantula,1,1,1,2.1505376344086025,23140.768271684647,87.5,1,0.000700224071702945,0.000700224071702945,17245,207.5,-7.0
pandas,84,Statement,Tarantula,1,0,0,0.0,42.223748207092285,2.6666666666666665,1,2.1355543098155415e-05,2.1355543098155415e-05,6888,12.666666666666666,-4.019212962962963
pandas,116,Statement,Tarantula,1,0,0,0.0,2121.0391430854797,183.5,1,0.0014703290011378023,0.0014703290011378023,8989,105.0,-12.0
pandas,137,Statement,Tarantula,1,1,1,0.1282051282051282,3366.506372451782,347.5,1,0.0027750714730638386,0.0027750714730638386,10639,0,-9.255236433951293
pandas,141,Statement,Tarantula,1,0,1,6.2645011600928076,46.401092290878296,92.5,1,0.0007409780910802259,0.0007409780910802259,3588,0,-12.0
pandas,143,Statement,Tarantula,1,1,1,0.49261083743842365,2166.20321059227,51.5,1,0.0004127462452113421,0.0004127462452113421,10692,0,-12.0
pandas,146,Statement,Tarantula,1,1,1,19.047619047619047,48.27202129364014,2.5,1,2.0057927294025143e-05,2.0057927294025143e-05,3610,2.5,-3.008064516129032
pandas,168,Statement,Tarantula,1,1,0,0.0,6296.336213111877,6.5,1,5.170630816959669e-05,5.170630816959669e-05,13476,32.504418262150224,-3.004418262150221
spacy,4,Statement,Tarantula,1,0,1,46.51162790697674,4.43233323097229,13.0,1,0.0001294665976178146,0.0001294665976178146,365,2.0851063829787235,-3.049645390070922
spacy,5,Statement,Tarantula,1,0,0,0.0,38.57931137084961,1.0,1,1.002194806626512e-05,1.002194806626512e-05,1382,1.0,-3.0
thefuck,4,Statement,Tarantula,1,0,1,37.5,27.40939736366272,4.0,1,0.0009675858732462506,0.0009675858732462506,67,4.0,-4.2778761061946895
thefuck,6,Statement,Tarantula,1,0,1,4.545454545454546,1.3505890369415283,2.0,1,0.0004889975550122249,0.0004889975550122249,54,2.0,-6.013888888888888
tqdm,4,Statement,Tarantula,1,0,0,0.0,36.23267221450806,1.0,1,0.0004938271604938272,0.0004938271604938272,526,1.0,-3.0
tqdm,5,Statement,Tarantula,1,1,1,1.240694789081886,80.39165186882019,8.333333333333334,1,0.004313319530710835,0.004313319530710835,511,14.800566343042071,-3.078883495145631
tqdm,6,Statement,Tarantula,1,0,0,0.0,42.12509560585022,1.0,1,0.0005307855626326964,0.0005307855626326964,501,1.0,-3.0
tqdm,7,Statement,Tarantula,1,0,0,0.0,0.7109723091125488,933.0,0,0.5112328767123288,-1,40,0,-3.3220873786407767
tqdm,9,Statement,Tarantula,1,1,1,4.761904761904762,6.175822496414185,3.4,1,0.006343283582089552,0.006343283582089552,168,4.4032786885245905,-3.00327868852459
youtube-dl,17,Statement,Tarantula,1,0,1,3.8461538461538463,82.45962834358215,2.0,1,1.9669744981756312e-05,1.9669744981756312e-05,2170,2.0,-3.0003138075313807
