project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,output_length,cumulative_distance,cumulative_distance2,sv_comp_overall_score
sanic,1,Statement,Metallaxis,0,0,0,0.0,20964.621230602264,6649.5,0,0.5005269100489274,-1,13,36.444367176634216,7.927925690443075,-3.2312239221140473
sanic,3,Statement,Metallaxis,0,1,1,5.88235294117647,6982.3578724861145,25.5,1,0.0018743109151047408,0.0018743109151047408,34,10.527929155313352,6.015099909173479,-3.0088555858310624
sanic,4,Statement,Metallaxis,0,1,1,0.2004008016032064,7370.0145852565765,107.0,1,0.007807939287799183,0.007807939287799183,175,140,35,-7
tornado,1,Statement,Metallaxis,0,0,1,0.11689070718877849,58152.868394851685,465.5,1,0.026359003397508494,0.026359003397508494,602,45.7463768115942,9.216425120772946,-6.216425120772947
tornado,5,Statement,Metallaxis,0,1,1,27.397260273972602,5809.100916862488,2.0,1,0.00011059500110595002,0.00011059500110595002,6,2.0,1.0080130825838103,-3.00801308258381
tornado,6,Statement,Metallaxis,0,0,0,0.0,4062.3834235668182,3020.6666666666665,0,0.16722951152447912,-1,12,38.880718954248366,9.426820728291316,-3.0841503267973858
tornado,8,Statement,Metallaxis,0,0,0,0.0,44027.79805994034,6249.0,0,0.35782180485570314,-1,641,35.909200968523,9.2272800645682,-6.2272800645682
fastapi,1,Statement,Muse,0,1,1,16.129032258064516,967.2091643810272,6.333333333333333,1,0.0014193933960854623,0.0014193933960854623,18,6.333333333333333,1.0335429769392033,-3.033542976939203
fastapi,2,Statement,Muse,0,0,0,0.0,1173.8808906078339,2238.5,0,0.5025819488100584,-1,22,0,0,-10.981561324649114
fastapi,3,Statement,Muse,1,1,1,5.172413793103448,1301.428593158722,5.0,1,0.0011296882060551287,0.0011296882060551287,23,11.036998972250771,6.620760534429599,-3.011305241521069
fastapi,4,Statement,Muse,0,0,0,0.0,457.368346452713,2245.0,0,0.5087242238839792,-1,76,30,20,-8.602021129995407
fastapi,5,Statement,Muse,0,0,0,0.0,324.2960829734802,2229.5,0,0.5056702200045362,-1,49,0,0,-9.040816326530612
fastapi,6,Statement,Muse,0,1,1,1.8518518518518516,361.4668378829956,1.0,1,0.00022716946842344388,0.00022716946842344388,44,1.0,1.0,-3.0
fastapi,7,Statement,Muse,1,0,0,0.0,323.9393322467804,1451.3333333333333,0,0.33791230112533954,-1,29,0,0,-10.96551724137931
fastapi,9,Statement,Muse,0,1,0,0.0,427.9466383457184,686.8333333333334,0,0.18098375054896795,-1,65,0,0,-11.872963996280058
fastapi,10,Statement,Muse,0,0,0,0.0,889.5487492084503,1283.3333333333333,0,0.33923693717508147,-1,33,0,0,-7.587467177631111
fastapi,11,Statement,Muse,1,0,0,0.0,587.9990510940552,1286.6666666666667,0,0.34210759549765135,-1,49,0,0,-8.64847757284732
fastapi,12,Statement,Muse,0,0,0,0.0,452.6882300376892,726.8,0,0.20387096774193547,-1,17,203.15172413793104,37.06206896551724,-4.055172413793104
fastapi,14,Statement,Muse,0,0,0,0.0,409.0861096382141,708.75,0,0.2679584120982987,-1,63,0,0,-8.746031746031747
fastapi,16,Statement,Muse,1,1,1,66.66666666666666,14.806779384613037,1.5,1,0.0005912495072920772,0.0005912495072920772,2,1.5,1.0063291139240507,-3.0063291139240507
sanic,1,Statement,Muse,0,0,0,0.0,20964.621230602264,6649.5,0,0.5005269100489274,-1,13,7.019471488178025,1.3435326842837276,-3.3435326842837276
sanic,3,Statement,Muse,0,1,1,5.88235294117647,6982.3578724861145,17.5,1,0.0012862918044836457,0.0012862918044836457,34,0,0,-5.288587914729925
sanic,4,Statement,Muse,0,1,1,0.2004008016032064,7370.0145852565765,88.0,1,0.00642148277875073,0.00642148277875073,175,0,0,-6.714313725490196
tornado,1,Statement,Muse,0,0,1,0.11689070718877849,58152.868394851685,301.5,1,0.01707248018120045,0.01707248018120045,602,0,0,-6.613954892708686
tornado,5,Statement,Muse,0,1,1,27.397260273972602,5809.100916862488,2.333333333333333,1,0.000129027501290275,0.000129027501290275,6,2.333333333333333,1.0125374761515398,-3.0125374761515396
tornado,6,Statement,Muse,0,0,0,0.0,4062.3834235668182,3020.6666666666665,0,0.16722951152447912,-1,12,7.041666666666666,1.7632761437908495,-3.7632761437908497
tornado,8,Statement,Muse,0,0,0,0.0,44027.79805994034,6249.0,0,0.35782180485570314,-1,641,37.34221146085553,10.161420500403551,-5.787732041969329
fastapi,1,Statement,PS,0,1,1,16.129032258064516,205.24002027511597,39.14912280701754,0,0.008773895743392546,-1,0,10,10,-10
fastapi,2,Statement,PS,0,0,0,0.0,55.62518310546875,2227.5,0,0.5001122586439156,-1,0,10,10,-10
fastapi,3,Statement,PS,1,1,1,5.172413793103448,242.84236693382263,491.8888888888889,0,0.1111362152934679,-1,0,10,10,-10
fastapi,4,Statement,PS,0,0,0,0.0,2511.5323479175568,2207.5,0,0.5002266032177657,-1,1,10,10,-12
