project_name,bug_number,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
thefuck,2,-1,2174.5,0.5006907667510937,1.4658753709198815,-2.0148367952522257
thefuck,3,-1,1432.6666666666667,0.3334109068342255,0,-10
thefuck,4,-1,1.0,0.00024189646831156264,0.0,8.0
thefuck,6,-1,1.0,0.00024449877750611245,0.0,8
thefuck,7,-1,1324.0,0.3351050366995697,550.0,-12.0
thefuck,8,-1,1272.0,0.333945917563665,45.2625,-7.0875
thefuck,13,-1,449.3333333333333,0.17052498418722328,520.1304347826087,-2.0434782608695654
thefuck,14,-1,1.0,0.00039261876717707107,0.0,8
thefuck,15,-1,1.0,0.0003957261574990107,0.0,8
thefuck,17,-1,4.0,0.0016333197223356473,0.5816326530612245,5
thefuck,19,-1,1125.5,0.5015597147950089,210.0,-12
thefuck,20,-1,1.0,0.00044822949350067237,0.0,8
thefuck,25,-1,910.0,0.5005500550055005,10,-12
thefuck,26,-1,1.5,0.0008223684210526315,0.11538461538461539,2.9615384615384617
thefuck,28,-1,1.0,0.0005558643690939411,0.0,8
thefuck,29,-1,600.0,0.333889816360601,5,-7
tornado,1,-1,84.5,0.004784824462061155,275.0,-7.0
tornado,5,-1,3.6666666666666665,0.00020275750202757503,0.11222403924775143,0.9993867538838916
tornado,6,-1,3020.6666666666665,0.16722951152447912,6.82312091503268,-2.0841503267973858
tornado,8,-1,6249.0,0.35782180485570314,275.0,-7.0
tqdm,4,-1,1031.5,0.5093827160493827,22.281266552880933,-2.37796480489671
tqdm,5,-1,40.0,0.020703933747412008,15.951051779935277,-2.085760517799353
tqdm,6,-1,950.0,0.5042462845010616,60.83218344155844,-2.0016233766233764
tqdm,7,-1,921.0,0.5046575342465753,18.009708737864077,-2.327449249779347
tqdm,8,-1,588.5,0.5194174757281553,2.047008547008547,-2.0440705128205128
tqdm,9,-1,1.3333333333333333,0.0024875621890547263,0.001092896174863388,4.665573770491803
youtube-dl,1,-1,2.333333333333333,2.1483793546882238e-05,0.0055312580396192435,1.3314895806534603
