project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
spacy,4,Module,Tarantula,1,0,1,46.51162790697674,4.43233323097229,1.0,1,0.002380952380952381,,
spacy,5,Module,Tarantula,1,0,0,0.0,38.57931137084961,1.0,1,0.0024154589371980675,,
spacy,6,Module,Tarantula,0,1,1,0.8620689655172413,34.51030898094177,2.5,1,0.006097560975609756,,
thefuck,2,Module,Tarantula,0,0,0,0.0,3.6633265018463135,1.5,1,0.008152173913043478,,
thefuck,3,Module,Tarantula,0,0,0,0,4.067361831665039,1.0,1,0.0055248618784530384,,
thefuck,4,Module,Tarantula,1,0,1,37.5,27.40939736366272,1.5,1,0.008522727272727272,,
thefuck,6,Module,Tarantula,1,0,1,4.545454545454546,1.3505890369415283,1.5,1,0.008620689655172414,,
thefuck,7,Module,Tarantula,0,0,0,0.0,0.6760425567626953,2.5,1,0.01488095238095238,,
thefuck,8,Module,Tarantula,0,0,0,0.0,0.7262434959411621,2.0,1,0.012345679012345678,,
thefuck,13,Module,Tarantula,0,0,0,0.0,1.4209578037261963,2.5,1,0.021739130434782608,,
thefuck,14,Module,Tarantula,0,1,1,100.0,7.336745738983154,1.0,1,0.009009009009009009,,
thefuck,15,Module,Tarantula,0,0,1,4.3478260869565215,3.262887954711914,1.5,1,0.013636363636363636,,
thefuck,17,Module,Tarantula,0,0,1,1.7857142857142856,16.943659782409668,1.5,1,0.014285714285714285,,
thefuck,19,Module,Tarantula,0,0,0,0.0,3.976938009262085,2.0,1,0.021739130434782608,,
thefuck,20,Module,Tarantula,0,0,1,58.333333333333336,0.8783576488494873,2.0,1,0.021739130434782608,,
thefuck,25,Module,Tarantula,0,0,0,0.0,8.246513366699219,1.0,1,0.012345679012345678,,
thefuck,26,Module,Tarantula,0,0,1,57.89473684210527,2.047957181930542,1.0,1,0.012195121951219513,,
thefuck,28,Module,Tarantula,0,0,1,16.666666666666664,9.628909349441528,1.0,1,0.0125,,
thefuck,29,Module,Tarantula,0,0,0,0.0,2.5247983932495117,1.0,1,0.0125,,
tornado,1,Module,Tarantula,0,0,1,0.11689070718877849,78.14776730537415,1.0,1,0.02564102564102564,,
tornado,5,Module,Tarantula,0,1,1,27.397260273972602,2001.7016625404358,1.0,1,0.022727272727272728,,
tornado,6,Module,Tarantula,0,0,0,0.0,1777.4389777183533,1.0,1,0.022727272727272728,,
tornado,8,Module,Tarantula,0,0,0,0.0,45.8743679523468,2.5,1,0.056818181818181816,,
tqdm,3,Module,Tarantula,0,0,0,0.0,109.47254824638367,1.0,1,0.08333333333333333,,
tqdm,4,Module,Tarantula,1,0,0,0.0,36.23267221450806,1.0,1,0.08333333333333333,,
tqdm,5,Module,Tarantula,1,1,1,1.240694789081886,80.39165186882019,1.0,1,0.09090909090909091,,
tqdm,6,Module,Tarantula,1,0,0,0.0,42.12509560585022,1.0,1,0.1,,
tqdm,7,Module,Tarantula,1,0,0,0.0,0.7109723091125488,1.0,1,0.1111111111111111,,
tqdm,8,Module,Tarantula,0,0,0,0.0,17.729987859725952,1.0,1,0.125,,
tqdm,9,Module,Tarantula,1,1,1,4.761904761904762,6.175822496414185,1.0,1,0.3333333333333333,,
youtube-dl,1,Module,Tarantula,0,0,1,0.2695417789757413,75.37886786460876,1.0,1,0.0012706480304955528,,
youtube-dl,2,Module,Tarantula,0,0,1,1.6842105263157894,69.2180483341217,1.5,1,0.0019255455712451862,,
youtube-dl,6,Module,Tarantula,0,1,1,33.33333333333333,35.18240404129028,1.0,1,0.0017513134851138354,,
youtube-dl,7,Module,Tarantula,0,1,1,4.3478260869565215,91.02659153938293,1.0,1,0.0017699115044247787,,
youtube-dl,13,Module,Tarantula,0,1,1,9.090909090909092,61.20927572250366,1.0,1,0.001226993865030675,,
youtube-dl,15,Module,Tarantula,0,0,0,0.0,53.85087466239929,1.0,1,0.001282051282051282,,
youtube-dl,17,Module,Tarantula,1,0,1,3.8461538461538463,82.45962834358215,1.0,1,0.0013123359580052493,,
youtube-dl,18,Module,Tarantula,0,0,1,0.21052631578947367,96.41504907608032,1.0,1,0.001314060446780552,,
youtube-dl,20,Module,Tarantula,0,0,1,3.571428571428571,67.46742272377014,1.0,1,0.0013192612137203166,,
youtube-dl,21,Module,Tarantula,0,1,1,88.88888888888889,57.83148527145386,1.0,1,0.0013568521031207597,,
youtube-dl,24,Module,Tarantula,0,1,1,0.1520912547528517,115.31560850143433,1.5,1,0.0021398002853067048,,
youtube-dl,25,Module,Tarantula,0,0,1,3.4482758620689653,38.36088013648987,1.0,1,0.0014771048744460858,,
youtube-dl,31,Module,Tarantula,0,1,1,58.139534883720934,7.539561986923218,1.0,1,0.002352941176470588,,
youtube-dl,34,Module,Tarantula,0,1,0,0.0,3.6900370121002197,1.0,1,0.002570694087403599,,
youtube-dl,41,Module,Tarantula,0,0,0,0.0,6.069176435470581,1.0,1,0.004329004329004329,,
youtube-dl,43,Module,Tarantula,0,0,0,0.0,10.410496473312378,1.0,1,0.005376344086021506,,
black,1,Module,Ochiai,0,0,0,0.0,132.3571379184723,1.0,1,0.041666666666666664,,
