project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
httpie,4,Statement,Average,0,1,1,0.2785515320334262,-1,269.5,1,0.10498636540708998,306.3650986559908,-7.551687160423219
httpie,5,Statement,Average,0,1,1,27.173913043478258,-1,4.0,1,0.006633499170812604,0.49833887043189373,5
keras,1,Statement,Average,0,0,1,2.941176470588235,-1,10.0,1,0.00026091948024839533,13.226240819051858,-1
keras,3,Statement,Average,1,0,0,0.0,-1,93.5,1,0.0024416357653940565,520.0418326693227,-2.0139442231075697
keras,5,Statement,Average,0,0,0,0.0,-1,67.5,1,0.0018040410519563823,259.67118176242076,-6.6466673481905545
keras,6,Statement,Average,0,0,0,0.0,-1,70.5,1,0.0019017560896657764,550.0,-12.0
keras,7,Statement,Average,0,0,0,0.0,-1,8.5,1,0.00022974214822422834,276.8514492753623,-2.614492753623188
keras,10,Statement,Average,1,1,1,25.0,-1,1.5,1,4.044107735030061e-05,0.0024752475247524753,2.9991749174917492
keras,14,Statement,Average,1,0,1,45.45454545454545,-1,1.5,1,4.1849175571241246e-05,15.0,-2.0
keras,17,Statement,Average,0,0,1,9.615384615384617,-1,4.5,1,0.00012706121526993448,10.3375,-1.3708333333333333
keras,18,Statement,Average,1,0,0,0.0,-1,11.0,1,0.0003108925442315302,0.20141830661161456,-2.0006836827711942
keras,20,Statement,Average,1,1,0,0.0,-1,21.363636363636363,1,0.0006033562009612619,75.62025101763908,-7
keras,26,Statement,Average,1,0,0,0.0,-1,7.0,1,0.00017928950131905846,0.051162624055032066,-1.2325964673426246
keras,31,Statement,Average,1,0,0,0.0,-1,21.666666666666668,1,0.0005618074642604021,0.4304493186768653,-2.0078263512486703
keras,33,Statement,Average,1,1,1,95.45454545454545,-1,1.6666666666666665,1,4.346503238144912e-05,0.010359116022099447,2.9965469613259668
keras,35,Statement,Average,1,1,1,0.2145922746781116,-1,1.0,1,2.6612731530764318e-05,0.0,8
keras,38,Statement,Average,1,0,1,0.11771630370806356,-1,6.5,1,0.0001778677758318739,10.096448467966573,-3.000464252553389
keras,40,Statement,Average,0,0,1,1.342281879194631,-1,12.5,1,0.00035330695308083665,8.269836695485113,-2.1594620557156583
keras,41,Statement,Average,0,1,1,8.333333333333332,-1,1.6666666666666665,1,4.8118101067259477e-05,0.0031468531468531466,2.9989510489510485
