project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
fastapi,12,Statement,Tarantula,0,0,0,0.0,3.7883567810058594,1.0,0.00028050490883590464,0.0,8.0
fastapi,14,Statement,Tarantula,0,0,0,0.0,6.0734312534332275,870.75,0.3292060491493384,346.42857142857144,-8.2987012987013
fastapi,16,Statement,Tarantula,1,1,1,66.66666666666666,0.7255284786224365,1.0,0.00039416633819471815,0.0,8
httpie,2,Statement,Tarantula,0,1,1,1.6194331983805668,10.510277509689331,214.0,0.07804522246535375,275.0,-7
httpie,3,Statement,Tarantula,1,0,1,0.47393364928909953,15.367119312286377,125.33333333333333,0.046197321538272516,275.0,-7.0
httpie,4,Statement,Tarantula,0,1,1,0.2785515320334262,2.3080801963806152,163.0,0.06349824698091157,326.9213017751478,-7.9132544378698215
httpie,5,Statement,Tarantula,0,1,1,27.173913043478258,8.386019468307495,28.0,0.04643449419568822,7.425249169435215,-2.0830564784053154
keras,1,Statement,Tarantula,0,0,1,2.941176470588235,1049.5740146636963,1.0,2.6091948024839534e-05,0.0,8
keras,3,Statement,Tarantula,1,0,0,0.0,184.52024579048157,35.5,0.0009270381783046953,497.69208878770644,-11.048947068867388
keras,5,Statement,Tarantula,0,0,0,0.0,334.0135052204132,50.5,0.0013496899722044045,160.9593835616438,-4.826534246575343
keras,6,Statement,Tarantula,0,0,0,0.0,45.33613181114197,90.0,0.0024277737314882253,550.0,-12.0
keras,7,Statement,Tarantula,0,0,0,0.0,16.23026442527771,30.0,0.0008108546407913941,38.82125603864734,-2.701449275362319
keras,10,Statement,Tarantula,1,1,1,25.0,87.1016194820404,1.5,4.044107735030061e-05,0.0024752475247524753,2.9991749174917492
keras,14,Statement,Tarantula,1,0,1,45.45454545454545,26.784066915512085,1.0,2.7899450380827496e-05,0.0,8
keras,17,Statement,Tarantula,0,0,1,9.615384615384617,29.182665824890137,4.5,0.00012706121526993448,10.3375,-1.3708333333333333
keras,18,Statement,Tarantula,1,0,0,0.0,28.64491105079651,11.0,0.0003108925442315302,0.20141830661161456,-2.0006836827711942
keras,20,Statement,Tarantula,1,1,0,0.0,1174.6866481304169,60.5,0.0017086534116583824,275.0,-7
keras,26,Statement,Tarantula,1,0,0,0.0,32.99368643760681,17.0,0.0004354173603462849,0.22892408011178392,-2.005356311131812
keras,31,Statement,Tarantula,1,0,0,0.0,28.89354920387268,9.0,0.00023336617746201317,0.2665284667209594,-1.236692085585252
keras,33,Statement,Tarantula,1,1,1,95.45454545454545,6.845127820968628,1.6666666666666665,4.346503238144912e-05,0.010359116022099447,2.9965469613259668
keras,35,Statement,Tarantula,1,1,1,0.2145922746781116,18.091214179992676,13.0,0.00034596550989993613,5.66476377952756,-2.106561679790026
keras,38,Statement,Tarantula,1,0,1,0.11771630370806356,182.33350825309753,39.5,0.0010808887915936952,550.0,-12
keras,40,Statement,Tarantula,0,0,1,1.342281879194631,147.71782660484314,29.5,0.0008338044092707744,8.236231187960293,-2.1594620557156583
keras,41,Statement,Tarantula,0,1,1,8.333333333333332,16.664397478103638,1.6666666666666665,4.8118101067259477e-05,0.0031468531468531466,2.9989510489510485
