project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
cookiecutter,3,Statement,Average,0,0,0,0.0,-1,7.0,1,0.004791238877481177,0.7434259954921111,-2.053719008264463
cookiecutter,4,Statement,Average,0,1,0,0.0,-1,29.25,1,0.03242793791574279,135.91343186446372,-7.0
fastapi,1,Statement,Average,0,1,1,16.129032258064516,-1,1.0,1,0.00022411474675033618,0.0,8
fastapi,2,Statement,Average,0,0,0,0.0,-1,2551.0,0,0.5727436012572968,171.7351160443996,-2.2971745711402622
fastapi,3,Statement,Average,1,1,1,5.172413793103448,-1,3.5,1,0.0007907817442385902,0.029290853031860225,0.9994861253854062
fastapi,4,Statement,Average,0,0,0,0.0,-1,155.0,1,0.0351234987536823,203.79187372113415,-7.342151417714119
fastapi,5,Statement,Average,0,0,0,0.0,-1,2381.0,0,0.5400317532320255,448.6842105263158,-10.157894736842104
fastapi,6,Statement,Average,0,1,1,1.8518518518518516,-1,1.0,1,0.00022716946842344388,0.0,8
fastapi,7,Statement,Average,1,0,0,0.0,-1,1.5,1,0.0003492433061699651,0.06521739130434782,2.9782608695652177
fastapi,9,Statement,Average,0,1,0,0.0,-1,831.8333333333334,0,0.21919191919191922,550.0,-12.0
fastapi,10,Statement,Average,0,0,0,0.0,-1,7.0,1,0.0018503832936822627,0.11137132448607859,-2.003512880562061
fastapi,11,Statement,Average,1,0,0,0.0,-1,1510.6666666666667,0,0.40166622352211295,550.0,-12.0
fastapi,12,Statement,Average,0,0,0,0.0,-1,1.0,1,0.00028050490883590464,0.0,8.0
fastapi,14,Statement,Average,0,0,0,0.0,-1,870.75,0,0.3292060491493384,330.0,-8.0
fastapi,16,Statement,Average,1,1,1,66.66666666666666,-1,1.0,1,0.00039416633819471815,0.0,8
httpie,2,Statement,Average,0,1,1,1.6194331983805668,-1,28.0,1,0.010211524434719184,349.19727891156464,-8.16722325293754
httpie,3,Statement,Average,1,0,1,0.47393364928909953,-1,48.0,1,0.017692591227423518,275.0,-7.0
httpie,4,Statement,Average,0,1,1,0.2785515320334262,-1,1.0,1,0.00038955979742890534,0.0,8
httpie,5,Statement,Average,0,1,1,27.173913043478258,-1,5.0,1,0.008291873963515755,1.0697674418604652,4
keras,1,Statement,Average,0,0,1,2.941176470588235,-1,18.0,1,0.00046965506444711163,7.80401602667673,-2.3131537947918988
keras,3,Statement,Average,1,0,0,0.0,-1,102.5,1,0.0026766595289079227,550.0,-12.0
keras,5,Statement,Average,0,0,0,0.0,-1,67.5,1,0.0018040410519563823,259.67118176242076,-6.6466673481905545
keras,6,Statement,Average,0,0,0,0.0,-1,94.5,1,0.0025491624180626364,550.0,-12.0
keras,7,Statement,Average,0,0,0,0.0,-1,11.0,1,0.00029731336829017787,334.26409017713365,-5.614492753623188
keras,10,Statement,Average,1,1,1,25.0,-1,1.5,1,4.044107735030061e-05,0.0024752475247524753,2.9991749174917492
keras,14,Statement,Average,1,0,1,45.45454545454545,-1,1.0,1,2.7899450380827496e-05,0.0,8
keras,17,Statement,Average,0,0,1,9.615384615384617,-1,6.0,1,0.00016941495369324599,30.599999999999998,3
keras,18,Statement,Average,1,0,0,0.0,-1,17.5,1,0.000494601774913798,6.2574065633546025,-2.0006836827711942
keras,20,Statement,Average,1,1,0,0.0,-1,21.363636363636363,1,0.0006033562009612619,75.62025101763908,-7
keras,26,Statement,Average,1,0,0,0.0,-1,22.5,1,0.0005762876828112593,1.0005822077317186,-2.0015137401024683
keras,31,Statement,Average,1,0,0,0.0,-1,23.0,1,0.0005963802312918114,0.44333493743984603,-2.0080606352261787
keras,33,Statement,Average,1,1,1,95.45454545454545,-1,1.0,1,2.6079019428869475e-05,0.0,8.0
keras,35,Statement,Average,1,1,1,0.2145922746781116,-1,4.0,1,0.00010645092612305727,0.08503937007874016,5
keras,38,Statement,Average,1,0,1,0.11771630370806356,-1,5.5,1,0.00015050350262697023,10.029247910863509,-1.0013927576601676
keras,40,Statement,Average,0,0,1,1.342281879194631,-1,2.0,1,5.652911249293386e-05,0.15946205571565802,7
keras,41,Statement,Average,0,1,1,8.333333333333332,-1,1.5,1,4.3306290960533534e-05,0.004195804195804196,2.998601398601399
keras,43,Statement,Average,0,0,0,0.0,-1,5.0,1,0.00014509155276979773,1.0978260869565215,-1.578804347826087
luigi,3,Statement,Average,1,0,1,2.4390243902439024,-1,1.0,1,4.669624095260332e-05,0.0,8
