project_name,bug_number,experiment_time_seconds,e_inspect,exam_score
thefuck,28,-1,1.25,0.0006948304613674264
thefuck,29,-1,1.3333333333333333,0.0007419773696902244
tornado,1,-1,1.0,5.662514156285391e-05
tornado,5,-1,1.6666666666666665,9.2162500921625e-05
tornado,6,-1,6841.5,0.3787576814482644
tornado,8,-1,275.0,0.015746678882272103
tqdm,4,-1,1.0,0.0004938271604938272
tqdm,5,-1,8.333333333333334,0.004313319530710835
tqdm,6,-1,1.0,0.0005307855626326964
tqdm,7,-1,961.0,0.5265753424657534
tqdm,8,-1,1.5,0.001323918799646955
tqdm,9,-1,6.0,0.011194029850746268
youtube-dl,1,-1,8.666666666666666,7.979694745984832e-05
youtube-dl,2,-1,20.2,0.00019185290011302224
youtube-dl,6,-1,1.5,2.3032275895955532e-05
youtube-dl,7,-1,8.5,0.00013538912427128795
youtube-dl,13,-1,10.0,8.709208245878367e-05
youtube-dl,15,-1,54201.5,0.5111950504107367
youtube-dl,17,-1,2.5,2.458718122719539e-05
youtube-dl,18,-1,9.0,8.907010807173113e-05
youtube-dl,20,-1,34885.33333333333,0.3476469982494078
youtube-dl,21,-1,3.3333333333333335,3.468212101979309e-05
youtube-dl,24,-1,42.0,0.0004706831629908553
youtube-dl,25,-1,4.0,4.7455777147670515e-05
youtube-dl,31,-1,4.0,9.946784701845128e-05
youtube-dl,34,-1,9314.25,0.25537383818166864
youtube-dl,41,-1,14.666666666666668,0.0007153075822603721
youtube-dl,43,-1,4.0,0.00023430178069353328
